lang,text.num,is.matched,sim
du,1,1,0.95195695540572
ee,1,1,0.868377433331577
fi,1,1,0.864926909345654
ge,1,1,0.92043707620059
gr,1,1,0.886692202587353
he,1,1,0.869927619347067
it,1,1,0.928911770707055
ko,1,1,0.798866253431984
no,1,1,0.899479108229601
ru,1,1,0.799550217594492
sp,1,1,0.897688190002713
tr,1,1,0.879512766724115
du,2,0,0.929688418562887
ee,2,0,0.772738780716758
fi,2,0,0.701630366800735
ge,2,0,0.677595705828194
gr,2,0,0.704726086591345
he,2,0,0.63922545855541
it,2,0,0.526933558328541
ko,2,0,0.468978848447497
no,2,0,0.369428898254687
ru,2,0,0.859067742051475
sp,2,0,0.680377794272478
tr,2,0,0.876108002266554
du,3,1,0.974370484211999
ee,3,1,0.894935427928851
fi,3,1,0.74629600984933
ge,3,1,0.914546455102929
gr,3,1,0.679030161608024
he,3,1,0.844680915920273
it,3,1,0.835079951200873
ko,3,1,0.912402630087051
no,3,1,0.921020136102342
ru,3,1,0.814361131938171
sp,3,1,0.967531483033841
tr,3,1,0.969703835333381
du,4,0,0.547703080732581
ee,4,0,0.598310972792295
fi,4,0,0.800186233143974
ge,4,0,0.523648613891225
gr,4,0,0.748737929682967
he,4,0,0.63788731232494
it,4,0,0.60743897726253
ko,4,0,0.611320052943115
no,4,0,0.86869726871027
ru,4,0,0.818843967983272
sp,4,0,0.688535893903033
tr,4,0,0.83590047665285
du,5,0,0.655438918475648
ee,5,0,0.703887920084181
fi,5,0,0.769631964429596
ge,5,0,0.70056064672694
gr,5,0,0.837463359596576
he,5,0,0.70139184555453
it,5,0,0.747365554401495
ko,5,0,0.818472514220709
no,5,0,0.642522384137652
ru,5,0,0.884395640528521
sp,5,0,0.751875794719549
tr,5,0,0.253468412226407
du,6,0,0.600864167680246
ee,6,0,0.691336692663151
fi,6,0,0.677710479402764
ge,6,0,0.404316303118358
gr,6,0,0.599523858095817
he,6,0,0.728186554244924
it,6,0,0.719738175068137
ko,6,0,0.576438947997231
no,6,0,0.872715743870767
ru,6,0,0.713396879073406
sp,6,0,0.7633685681752
tr,6,0,0.398660260268257
du,7,1,0.938427310657796
ee,7,1,0.875841756599437
fi,7,1,0.86778155677507
ge,7,1,0.861719272010769
gr,7,1,0.897323277048525
he,7,1,0.838011790306747
it,7,1,0.899887789801025
ko,7,1,0.7973801482988
no,7,1,0.858878990942676
ru,7,1,0.820381498938103
sp,7,1,0.959419574133182
tr,7,1,0.92570958699793
du,8,0,0.622174008301789
ee,8,0,0.581354585741067
fi,8,0,0.654429343256605
ge,8,0,0.570710106516355
gr,8,0,0.716686258309063
he,8,0,0.617216492246797
it,8,0,0.538157459734096
ko,8,0,0.623170765018652
no,8,0,0.563545383312863
ru,8,0,0.700110722402509
sp,8,0,0.493232057781127
tr,8,0,0.459703801565697
du,9,0,0.683877803434318
ee,9,0,0.546729511708783
fi,9,0,0.664350381875177
ge,9,0,0.555043992549019
gr,9,0,0.775806230315261
he,9,0,0.445991535767336
it,9,0,0.502683609227063
ko,9,0,0.613438873142765
no,9,0,0.383217820548004
ru,9,0,0.665764588791517
sp,9,0,0.40437630517573
tr,9,0,0.654918067268808
du,10,0,0.850765876261528
ee,10,0,0.733166738249479
fi,10,0,0.801042333078008
ge,10,0,0.794585729579134
gr,10,0,0.778909374390035
he,10,0,0.761593231682033
it,10,0,0.557399045070603
ko,10,0,0.548916219126776
no,10,0,0.558696375484189
ru,10,0,0.921662919822214
sp,10,0,0.802407601764904
tr,10,0,0.593942156065131
du,11,1,0.962901595705993
ee,11,1,0.957288345518452
fi,11,1,0.865747169102995
ge,11,1,0.945444303708422
gr,11,1,0.844631555504124
he,11,1,0.860229417914379
it,11,1,0.956914549661959
ko,11,1,0.904481459708607
no,11,1,0.802033914024381
ru,11,1,0.935413342919569
sp,11,1,0.931033468611025
tr,11,1,0.964748481459908
du,12,1,0.955904377308163
ee,12,1,0.849427814850633
fi,12,1,0.785943978369401
ge,12,1,0.864304798812442
gr,12,1,0.860187357203719
he,12,1,0.850409951559175
it,12,1,0.905002802058664
ko,12,1,0.847109344811178
no,12,1,0.851575226864807
ru,12,1,0.732503347190467
sp,12,1,0.87187342504535
tr,12,1,0.92322601641108
