lang,text_num,flesh_readability,l2_readability,narrativity,simplicity,concreteness,cohesion,deep_cohesion,verb_cohesion,connectivity,temporality,matched
Estonian,9,10.588,11.291,-1.455,0.95,0.912,-1.33,0.332,-1.272,-5.908,2.079,FALSE
Estonian,10,9.483,19.981,-1.814,-0.578,0.992,0.851,-2.211,2.973,-3.914,0.344,FALSE
Estonian,11,18.088,10.604,-1.304,-1.035,-0.337,0.944,-1.353,-0.762,-2.518,0.489,TRUE
Estonian,12,12.727,9.238,-1.511,-0.667,2.018,0.58,-0.115,0.881,-2.975,-0.928,TRUE
Finnish,1,9.572,12.774,-0.545,-0.705,1.18,0.319,-1.173,1.428,-5.387,-0.589,TRUE
Finnish,2,10.201,10.028,-0.633,-0.187,0.196,-0.85,0.702,1.181,-0.059,-2.12,FALSE
Finnish,3,14.44,4.225,-1.182,-0.249,-0.844,-0.089,-0.692,-1.219,-1.153,-1.185,TRUE
Finnish,4,12.514,3.215,-1.084,-0.634,0.682,-0.399,-0.645,0.473,-3.928,-0.911,FALSE
Finnish,5,14.09,15.997,-1.408,-0.402,-0.055,-1.308,1.803,1.146,-3.048,-0.901,FALSE
Finnish,6,10.282,13.796,-1.386,-0.767,1.032,0.556,-0.699,0.444,-2.007,-1.133,FALSE
Finnish,7,12.771,14.158,-1.15,-0.55,1.062,1.141,0.856,-0.486,-1.912,-1.804,TRUE
Finnish,8,11.019,11.903,-0.563,0.157,2.748,2.669,4.6,-0.865,-2.898,-0.313,FALSE
Finnish,9,9.471,3.121,-1.139,0.588,1.65,-0.265,1.013,-2.57,-2.674,-0.395,FALSE
Finnish,10,8.935,21.148,-0.611,-0.686,0.808,1.471,-1.66,1.17,-4.02,-0.304,FALSE
Finnish,11,14.498,6.26,-1.288,0.366,-0.69,-1.09,0.015,-0.453,-3.065,1.249,TRUE
Finnish,12,12.295,16.641,-1.379,-0.71,2.061,1.201,1.061,1.004,-2.289,0.397,TRUE
German,1,9.916,12.991,-0.577,-0.405,1.267,0.221,1.09,0.706,-5.946,1.327,TRUE
German,2,10.11,11.076,-0.873,-0.074,0.457,-1.585,0.861,0.816,-5.43,1.283,FALSE
German,3,14.343,10.071,-0.972,-0.783,-0.385,0.319,0.488,-0.42,-0.974,-0.275,TRUE
German,4,10.168,10.315,-1.009,0.086,-0.269,-1.592,-0.956,0.125,-3.159,-1.197,FALSE
German,5,11.447,22.548,-1.737,-0.475,1.361,-0.046,1.747,3.054,-2.076,-0.312,FALSE
German,6,9.72,13.523,-1.281,-0.155,-0.055,-1.092,-0.474,1.804,-3.097,0.254,FALSE
German,7,11.922,14.818,-0.755,-0.985,1.746,1.527,1.147,0.521,-1.246,-2.204,TRUE
German,8,10.011,16.03,-1.08,-0.162,2.755,2.091,3.614,1.462,-2.857,2.031,FALSE
German,9,13.431,10.621,-1.191,-0.769,2.14,2.05,-0.33,-2.514,-2.869,1.005,FALSE
German,10,10.558,16.804,-1.305,0.643,0.584,0.749,4.063,0.85,-2.885,-1.212,FALSE
German,11,16.422,8.16,-1.336,-1.163,-0.269,-0.478,-0.224,0.837,-3.396,0.363,TRUE
German,12,13.245,13.565,-1.61,-0.402,0.896,0.214,1.592,1.175,-3.16,-0.698,TRUE
Greek,1,9.401,5.772,-0.773,-0.093,0.832,-0.859,0.554,0.445,-5.261,1.872,TRUE
Greek,2,10.273,3.072,-0.671,0.125,0.63,-1.539,1.943,-0.349,-1.39,0.763,FALSE
Greek,3,12.958,6.542,-1.389,-0.147,-0.658,0.558,-0.352,-1.05,-0.659,-1.215,TRUE
Greek,4,13.34,9.513,-1.692,0.244,1.291,-0.403,2.687,-0.394,-4.423,0.386,FALSE
Greek,5,12.351,14.741,-0.853,0.044,0.354,-0.23,0.784,-0.335,-1.311,-2.125,FALSE
Greek,6,9.644,12.462,-0.991,-0.25,0.819,-0.138,0.137,0.376,-1.587,1.162,FALSE
Greek,7,12.007,14.259,-0.669,-0.66,1.078,1.537,2.467,0.108,-1.519,-1.918,TRUE
Greek,8,12.17,4.035,-0.815,0.548,2.007,-0.039,3.276,-1.51,-2.935,-0.504,FALSE
Greek,9,12.482,8.556,-1.39,-0.597,1.188,0.79,-1.282,-2.387,-0.276,-0.074,FALSE
Greek,10,9.542,17.313,-1.126,-0.705,0.907,1.492,-0.96,1.025,-3.021,-0.204,FALSE
Greek,11,13.796,9.906,-1.422,-0.327,-0.428,-1.212,-0.879,0.78,-3.251,0.532,TRUE
Greek,12,13.307,17.698,-1.945,-0.728,1.51,1.229,1.391,2.364,-3.751,0.558,TRUE
Hebrew,1,9.93,13.359,-0.141,-0.807,0.911,0.407,0.32,0.355,-6.079,1.281,TRUE
Hebrew,2,12.57,8.133,-0.609,-1.578,1.733,0.438,-0.223,0.468,-1.859,0.345,FALSE
Hebrew,3,14.926,6.686,-1.693,-0.736,-0.835,0.144,-0.001,-0.297,-0.583,-1.261,TRUE
Hebrew,4,12.586,1.064,-1.074,-0.579,0.931,-0.617,-0.439,-0.91,-1.743,-1.043,FALSE
Hebrew,5,13.798,16.549,-0.88,-0.689,1.999,1.293,1.358,0.69,-2.83,-0.628,FALSE
Hebrew,6,11.528,11.946,-1.54,-0.307,0.604,0.869,1.15,0.356,-1.191,-0.421,FALSE
Hebrew,7,13.539,15.399,-0.953,-1.444,1.426,1.916,0.313,0.196,-1.056,-1.711,TRUE
Hebrew,8,9.537,16.226,-1.065,0.286,1.8,0.713,-0.466,-0.56,-3.203,1.375,FALSE
Hebrew,9,12.527,15.074,-0.774,-0.794,1.12,0.464,-0.124,-0.425,-2.009,0.522,FALSE
Hebrew,10,9.208,24.874,-0.747,-0.522,1.61,2.026,0.777,1.237,-3.856,0.457,FALSE
Hebrew,11,18.369,9.468,-1.028,-1.442,-0.023,0.321,-1.077,-0.126,-3.242,1.47,TRUE
Hebrew,12,12.293,16.411,-1.165,-0.5,1.993,0.971,0.945,1.078,-2.861,0.5,TRUE
Italian,1,10.186,10.922,0.077,-1.031,0.875,0.301,0.58,0.633,-4.882,1.289,TRUE
Italian,2,11.895,8.999,-0.817,-0.512,0.903,-0.796,0.439,0.31,-1.276,-0.566,FALSE
Italian,3,14.768,5.166,-1.092,-0.776,-1.193,-0.27,-0.524,-0.636,-0.299,-0.001,TRUE
Italian,4,16.991,10.159,-0.733,-1.4,0.522,-0.044,1.671,-0.353,-3.598,-0.915,FALSE
Italian,5,18.263,14.969,-1.353,-1.209,0.788,0.872,0.401,1.307,-2.816,0.944,FALSE
Italian,6,11.592,14.63,0.096,-0.568,0.565,1.346,-0.248,-1.438,-3.957,-1.313,FALSE
Italian,7,14.324,13.118,-1.034,-1.35,1.461,1.197,0.369,0.436,-1.364,-2.566,TRUE
Italian,8,11.207,11.036,-0.569,-0.745,2.132,1.638,1.403,0.329,-3.97,1.663,FALSE
Italian,9,15.284,6.192,-1.278,-1.637,1.098,0.396,-0.41,-1.58,-2.776,-0.103,FALSE
Italian,10,10.611,23.311,-0.904,-1.138,2.077,2.343,2.324,1.9,-2.691,1.745,FALSE
Italian,11,17.196,10.168,-1.095,-0.871,-0.263,0.345,-1.351,-0.619,-2.72,1.173,TRUE
Italian,12,12.969,12.432,-1.413,-0.639,1.684,0.736,2.611,0.49,-2.151,0.732,TRUE
Korean,1,10.474,9.847,-0.325,0.093,1.574,0.934,1.163,-1.677,-6.55,-0.602,TRUE
Korean,2,11.948,9.505,-0.802,-0.755,1.016,-0.846,-1.226,0.701,-0.671,-1.45,FALSE
Korean,3,13.494,12.694,-0.971,-1.107,-0.343,0.959,0.152,-0.054,-0.508,-0.217,TRUE
Korean,4,13.543,8.475,-0.328,-0.893,0.367,0.235,2.549,-0.55,-3.224,-1.749,FALSE
Korean,5,17.984,14.774,-1.785,-1.143,2.36,0.662,0.557,0.445,-2.425,-1.114,FALSE
Korean,6,12.116,14.484,-0.465,-0.651,0.195,0.42,2.148,0.667,-4.866,0.234,FALSE
Korean,7,10.038,17.357,-0.534,-0.528,1.397,1.141,1.088,-0.788,-2.139,-1.856,TRUE
Korean,8,13.625,17.351,-0.85,-0.526,3.138,2.599,2.076,-1.684,-3.91,-0.225,FALSE
Korean,9,12.864,13.676,-0.562,-0.7,0.653,1.375,0.502,-0.967,-3.565,1.852,FALSE
