debugSFKFJZ:debugDBYR25,initialized,0,,1663854455173
debugSFKFJZ:debugDBYR25,window_resize,0,"[1024, 767]",1663854455173
debugSFKFJZ:debugDBYR25,focus,26563,off,1663854481736
debugSFKFJZ:debugDBYR25,focus,0,off,1663854481736
debugSFKFJZ:debugDBYR25,focus,1447,on,1663854483183
debugSFKFJZ:debugDBYR25,focus,0,on,1663854483183
debugSFKFJZ:debugDBYR25,window_resize,21113,"[2560, 1440]",1663854504296
debugSFKFJZ:debugDBYR25,window_resize,0,"[2560, 1440]",1663854504296
A1H4RT5Y19B3I:3E4GGUZ1TKMW4WLX7NVR86C69SMK26,initialized,0,,1663856910577
A1H4RT5Y19B3I:3E4GGUZ1TKMW4WLX7NVR86C69SMK26,window_resize,0,"[1028, 750]",1663856910577
A1H4RT5Y19B3I:3E4GGUZ1TKMW4WLX7NVR86C69SMK26,focus,194,off,1663856910771
A1H4RT5Y19B3I:3E4GGUZ1TKMW4WLX7NVR86C69SMK26,focus,0,off,1663856910771
A1H4RT5Y19B3I:3E4GGUZ1TKMW4WLX7NVR86C69SMK26,focus,4756,on,1663856915527
A1H4RT5Y19B3I:3E4GGUZ1TKMW4WLX7NVR86C69SMK26,focus,0,on,1663856915527
A1H4RT5Y19B3I:3E4GGUZ1TKMW4WLX7NVR86C69SMK26,window_resize,75054,"[1536, 764]",1663856990581
A1H4RT5Y19B3I:3E4GGUZ1TKMW4WLX7NVR86C69SMK26,window_resize,0,"[1536, 764]",1663856990581
A2MDKWX5NJE6Y3:3GFK2QRXXLCFYTY1EKGSUO9DGA95WD,initialized,0,,1663861734197
A2MDKWX5NJE6Y3:3GFK2QRXXLCFYTY1EKGSUO9DGA95WD,window_resize,0,"[1028, 758]",1663861734197
A2MDKWX5NJE6Y3:3GFK2QRXXLCFYTY1EKGSUO9DGA95WD,window_resize,5676,"[1536, 772]",1663861739873
A2MDKWX5NJE6Y3:3GFK2QRXXLCFYTY1EKGSUO9DGA95WD,window_resize,0,"[1536, 772]",1663861739873
A2MDKWX5NJE6Y3:3GFK2QRXXLCFYTY1EKGSUO9DGA95WD,focus,45427,off,1663861785300
A2MDKWX5NJE6Y3:3GFK2QRXXLCFYTY1EKGSUO9DGA95WD,focus,0,off,1663861785300
