,total_fix_points_d,total_fix_points_d_filtered,total_fix_points_p,total_fix_points_p_filtered
0,4611.0,1776.0,2835,2417
2,17977.0,16476.0,1501,571
5,11886.0,10139.0,1747,1261
9,3841.0,46.0,3795,3142
10,13586.0,11972.0,1614,1012
11,43848.0,41393.0,2455,947
12,17452.0,14813.0,2639,1352
14,4919.0,3539.0,1380,858
16,5780.0,4122.0,1658,1028
17,4744.0,3168.0,1576,1072
19,8395.0,6904.0,1491,861
20,14413.0,12595.0,1818,676
23,6832.0,5185.0,1647,1187
25,9406.0,6958.0,2448,1439
26,7536.0,6988.0,548,295
27,6193.0,4329.0,1864,1097
28,15257.0,12818.0,2439,1687
32,6466.0,12.0,6454,5148
33,12127.0,10113.0,2014,506
34,16790.0,13795.0,2995,1901
35,53.0,0.0,53,52
39,6023.0,4064.0,1959,1513
40,6706.0,4582.0,2124,1481
41,22153.0,16047.0,6106,4256
42,10381.0,7465.0,2916,2335
44,11731.0,8250.0,3481,1875
45,15235.0,12536.0,2699,1341
46,11279.0,7973.0,3306,1635
47,4212.0,3163.0,1049,808
49,12363.0,10107.0,2256,1838
51,2588.0,1797.0,791,490
54,6351.0,4357.0,1994,1562
56,17313.0,14705.0,2608,800
57,7904.0,5657.0,2247,1231
58,9044.0,6858.0,2186,1412
59,8392.0,6566.0,1826,1268
60,5215.0,3388.0,1827,1460
61,10159.0,7322.0,2837,2106
63,6638.0,4864.0,1774,1237
64,3992.0,2235.0,1757,1510
65,5495.0,3398.0,2097,1739
66,8785.0,6700.0,2085,1547
67,26113.0,21825.0,4288,2912
69,6525.0,3779.0,2746,1892
76,5279.0,4397.0,882,594
78,3152.0,633.0,2519,1961
79,13738.0,11116.0,2622,1884
80,16025.0,13595.0,2430,658
81,6319.0,4254.0,2065,1464
82,6788.0,5013.0,1775,1214
86,11328.0,9018.0,2310,1219
88,5028.0,3228.0,1800,1369
90,6689.0,1968.0,4721,3221
91,6341.0,4838.0,1503,1108
92,12123.0,9690.0,2433,1644
94,5342.0,4731.0,611,368
95,4558.0,1235.0,3323,2211
96,8008.0,6164.0,1844,1185
98,4037.0,2675.0,1362,1184
99,13372.0,10854.0,2518,1837
100,5596.0,3602.0,1994,1428
