,relFix,text_id,sentence_id,word_id,TRT,nfix,word,word_length
82,0.039568774866730584,11,4.0,83,319.24,1.52,δράσης,6
83,0.016486913695972737,11,4.0,84,126.28,0.68,της,3
84,0.09582791306593774,11,4.0,85,798.48,3.56,ενσωματώνοντας,14
85,0.018565840225146797,11,4.0,86,152.08,0.8,στα,3
86,0.06200328922822419,11,4.0,87,506.92,2.48,προγράμματά,11
87,0.02184177757956371,11,4.0,88,154.8,0.68,"της,",4
88,0.035480948743724885,11,4.0,89,257.84,1.24,πέρα,4
89,0.02779951090798223,11,4.0,90,231.2,0.92,από,3
90,0.03505524507082167,11,4.0,91,257.68,1.28,θέματα,6
91,0.05538937730518253,11,4.0,92,426.04,1.84,προστασίας,10
92,0.014044111233861616,11,4.0,93,117.52,0.52,της,3
93,0.034671693980749166,11,4.0,94,242.76,0.92,"φύσης,",6
94,0.050246725977485314,11,4.0,95,372.64,1.56,θέματα,6
95,0.08844781941848998,11,4.0,96,711.28,2.88,αειφόρου,8
96,0.06162529440731899,11,4.0,97,485.96,2.24,ανάπτυξης.,10
97,0.07689888148293464,11,5.0,98,131.92,0.64,σε,2
98,0.0878296402852763,11,5.0,99,257.76,1.28,αντίθεση,8
99,0.020180585211844265,11,5.0,100,95.0,0.44,με,2
100,0.08281566494014957,11,5.0,101,354.96,1.72,πολλές,6
101,0.06016545269807537,11,5.0,102,263.4,1.4,άλλες,5
102,0.07992611538338446,11,5.0,103,340.36,1.52,διεθνείς,8
103,0.10549555624143575,11,5.0,104,447.08,2.24,περιβαλλοντικές,15
104,0.07263218622431541,11,5.0,105,315.44,1.52,"οργανώσεις,",11
105,0.02469713257009133,11,5.0,106,120.64,0.6,δεν,3
106,0.11223550692931263,11,5.0,107,509.76,2.28,αποσκοπεί,9
107,0.04156586631616285,11,5.0,108,196.68,0.88,στην,4
108,0.13759735565934028,11,5.0,109,605.52,2.64,κινητοποίηση,12
109,0.024325687475793292,11,5.0,110,131.4,0.64,του,3
110,0.07363436858188342,11,5.0,111,318.96,1.36,κοινού.,7
111,0.07418703445121287,11,6.0,112,591.64,2.0,"αντιθέτως,",10
112,0.07662213194361811,11,6.0,113,568.68,2.52,προσπαθεί,9
113,0.02079842556708912,11,6.0,114,151.12,0.68,να,2
114,0.07384848309197689,11,6.0,115,502.72,2.24,επηρεάσει,9
115,0.02050567975743183,11,6.0,116,156.44,0.64,τις,3
116,0.06366060578822169,11,6.0,117,410.68,1.76,δράσεις,7
117,0.08097549427780609,11,6.0,118,562.28,2.48,"κυβερνήσεων,",12
118,0.08023616801240915,11,6.0,119,556.92,2.56,επιχειρήσεων,12
119,0.017574541464228412,11,6.0,120,116.32,0.56,και,3
120,0.03295336405224927,11,6.0,121,219.76,1.12,άλλων,5
121,0.0780993580134092,11,6.0,122,521.08,2.12,εμπλεκομένων,12
122,0.003995518562353928,11,6.0,123,28.44,0.16,με,2
123,0.0261080353765204,11,6.0,124,213.08,0.88,την,3
124,0.04536030943887667,11,6.0,125,285.44,1.24,παροχή,6
125,0.05324548537737889,11,6.0,126,362.44,1.76,"πληροφοριών,",12
126,0.0706554770343024,11,6.0,127,512.28,2.24,συμβουλών,9
127,0.020478248106082442,11,6.0,128,130.88,0.76,και,3
128,0.022047937459282095,11,6.0,129,159.6,0.8,την,3
129,0.05449302599090946,11,6.0,130,373.08,1.76,ανάπτυξη,8
130,0.08415467623464039,11,6.0,131,596.24,2.6,συνεργασιών.,12
131,0.006817587296025262,11,7.0,132,61.48,0.28,η,1
132,0.048223478798171966,11,7.0,133,408.16,1.68,οργάνωση,8
134,0.024467024237818193,11,7.0,135,216.32,1.0,είναι,5
135,0.031151161199216206,11,7.0,136,273.24,1.36,γνωστή,6
136,0.01594475244715785,11,7.0,137,151.92,0.72,στο,3
137,0.049856306676080424,11,7.0,138,420.92,1.88,ευρύτερο,8
138,0.026072585930846635,11,7.0,139,225.96,1.04,κοινό,5
139,0.017393351246642944,11,7.0,140,158.32,0.8,για,3
140,0.015308680165184895,11,7.0,141,134.0,0.6,τη,2
141,0.04876349222243065,11,7.0,142,425.28,1.8,σύνταξη,7
142,0.017914889237673565,11,7.0,143,156.92,0.84,και,3
143,0.047085765627981335,11,7.0,144,435.68,1.96,δημοσίευση,10
144,0.01688621115583385,11,7.0,145,161.88,0.8,της,3
145,0.0550059986776209,11,7.0,146,466.4,2.52,«κόκκινης,9
146,0.03403628262776418,11,7.0,147,294.68,1.36,λίστας,6
147,0.06498299598341548,11,7.0,148,576.08,2.6,απειλούμενων,12
148,0.0319087633079274,11,7.0,149,284.8,1.32,"ειδών»,",7
149,0.006335129003514361,11,7.0,150,53.4,0.24,η,1
150,0.03133719539547499,11,7.0,151,263.64,1.12,οποία,5
151,0.04199636137290039,11,7.0,152,356.56,1.44,αποτελεί,8
152,0.058394958465380814,11,7.0,153,519.28,2.16,ευρετήριο,9
153,0.0050136592821768645,11,7.0,154,48.56,0.28,για,3
154,0.0184440974059149,11,7.0,155,163.8,0.8,την,3
155,0.06394850482094615,11,7.0,156,589.2,2.16,κατάσταση,9
156,0.06744134500586861,11,7.0,157,580.8,2.6,απειλούμενων,12
157,0.032103739052408854,11,7.0,158,296.8,1.28,ειδών,5
158,0.022987282713770436,11,7.0,159,185.64,0.8,φυτών,5
159,0.012399076809530712,11,7.0,160,120.12,0.6,και,3
160,0.029915016401219467,11,7.0,161,234.84,1.12,ζώων,4
161,0.008840079369079112,11,7.0,162,75.24,0.52,σε,2
162,0.018728507832375115,11,7.0,163,161.72,0.8,όλο,3
163,0.009896284566722898,11,7.0,164,76.48,0.44,τον,3
164,0.016532419666931687,11,7.0,165,137.08,0.76,κόσμο.,6
165,0.060915227575677106,11,8.0,166,287.6,1.28,"σήμερα,",7
166,0.03747386587375898,11,8.0,167,204.84,0.88,στην,4
167,0.0480722162626737,11,8.0,168,222.88,1.08,οργάνωση,8
168,0.08292158879895113,11,8.0,169,410.12,1.84,απασχολούνται,13
169,0.014847451808870704,11,8.0,170,85.48,0.36,με,2
170,0.0917711821270116,11,8.0,171,441.96,1.96,καθεστώς,8
171,0.07034191246768057,11,8.0,172,334.64,1.52,πλήρους,7
172,0.07325062812172005,11,8.0,173,359.2,1.68,απασχόλησης,11
173,0.06301381543682437,11,8.0,174,315.56,1.32,περίπου,7
174,0.033292548430758934,11,8.0,175,192.8,1.0,χίλια,5
175,0.05694399205571827,11,8.0,176,268.28,1.28,άτομα,5
176,0.02641854369187591,11,8.0,177,124.04,0.8,σε,2
177,0.08628943106655688,11,8.0,178,434.64,2.28,περισσότερες,12
178,0.03600586293872662,11,8.0,179,186.92,0.84,από,3
179,0.08664101831493486,11,8.0,180,457.84,2.04,πενήντα,7
180,0.0918007150282597,11,8.0,181,541.44,2.24,χώρες.,6
