,word_id_orig,TRT,FixCount,scanPath,Span_word_is_in,text_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,A_0,,0,[],,meco_para_12,0,A,1,1,True,0.03058103975535168,NR,
1,vehicle_0,78.0,1,[13],,meco_para_12,1,vehicle,1,7,True,0.03058103975535168,NR,0.04482758620689655
2,registration_0,133.0,1,[12],,meco_para_12,1,registration,1,12,True,0.03058103975535168,NR,0.0764367816091954
3,plate_0,,0,[],,meco_para_12,0,plate,1,5,True,0.03058103975535168,NR,
4,is_0,,0,[],,meco_para_12,0,is,1,2,True,0.03058103975535168,NR,
5,a_1,,0,[],,meco_para_12,0,a,1,1,True,0.03058103975535168,NR,
6,metal_0,96.0,1,[6],,meco_para_12,1,metal,1,5,True,0.03058103975535168,NR,0.05517241379310345
7,or_0,370.0,1,[5],,meco_para_12,1,or,1,2,True,0.03058103975535168,NR,0.21264367816091953
8,plastic_0,,0,[],,meco_para_12,0,plastic,1,7,True,0.03058103975535168,NR,
9,plate_1,,0,[],,meco_para_12,0,plate,1,5,True,0.03058103975535168,NR,
10,attached_0,56.0,1,[24],,meco_para_12,1,attached,1,8,True,0.03058103975535168,NR,0.03218390804597701
11,to_0,288.0,3,"[53, 128, 323]",,meco_para_12,3,to,1,2,True,0.03058103975535168,NR,0.16551724137931034
12,a_2,,0,[],,meco_para_12,0,a,1,1,True,0.03058103975535168,NR,
13,vehicle_1,259.0,2,"[193, 195]",,meco_para_12,2,vehicle,1,7,True,0.03058103975535168,NR,0.14885057471264368
14,for_0,60.0,1,[222],,meco_para_12,1,for,1,3,True,0.03058103975535168,NR,0.034482758620689655
15,officialidentification_0,120.0,1,[14],,meco_para_12,1,officialidentification,1,22,True,0.03058103975535168,NR,0.06896551724137931
16,purposes._0,280.0,2,"[10, 11]",,meco_para_12,2,purposes.,1,9,True,0.03058103975535168,NR,0.16091954022988506
17,All_0,53.0,1,[9],,meco_para_12,1,All,2,3,True,0.03058103975535168,NR,0.0330630068621335
18,countries_0,110.0,2,"[7, 8]",,meco_para_12,2,countries,2,9,True,0.03058103975535168,NR,0.06862133499688085
19,require_0,54.0,1,[318],,meco_para_12,1,require,2,7,True,0.03058103975535168,NR,0.03368683718028696
20,registration_1,118.0,2,"[54, 319]",,meco_para_12,2,registration,2,12,True,0.03058103975535168,NR,0.07361197754210855
21,plates_0,53.0,1,[129],,meco_para_12,1,plates,2,6,True,0.03058103975535168,NR,0.0330630068621335
22,for_1,473.0,3,"[130, 321, 322]",,meco_para_12,3,for,2,3,True,0.03058103975535168,NR,0.29507174048658763
23,road_0,163.0,2,"[35, 324]",,meco_para_12,2,road,2,4,True,0.03058103975535168,NR,0.10168434185901434
24,vehicles_0,451.0,3,"[78, 221, 224]",,meco_para_12,3,vehicles,2,8,True,0.03058103975535168,NR,0.28134747348721145
25,such_0,,0,[],,meco_para_12,0,such,2,4,True,0.03058103975535168,NR,
26,as_0,,0,[],,meco_para_12,0,as,2,2,True,0.03058103975535168,NR,
27,"cars,_0",,0,[],,meco_para_12,0,"cars,",2,5,True,0.03058103975535168,NR,
28,"trucks,and_0",,0,[],,meco_para_12,0,"trucks,and",2,10,True,0.03058103975535168,NR,
29,motorcycles._0,128.0,2,"[55, 317]",,meco_para_12,2,motorcycles.,2,12,True,0.03058103975535168,NR,0.07985028072364317
30,Whether_0,62.0,1,[80],,meco_para_12,1,Whether,3,7,True,0.03058103975535168,NR,0.037237237237237236
31,they_0,,0,[],,meco_para_12,0,they,3,4,True,0.03058103975535168,NR,
32,are_0,,0,[],,meco_para_12,0,are,3,3,True,0.03058103975535168,NR,
