,word_id_orig,TRT,FixCount,scanPath,Span_word_is_in,text_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,In_0,69.0,1,[22],meco_para_3_qa_1 ,meco_para_3,1,In,1,2,True,0.075,NR,0.04684317718940937
1,competitive_0,135.0,2,"[24, 25]",meco_para_3_qa_1 ,meco_para_3,2,competitive,1,11,True,0.075,NR,0.09164969450101833
2,"sports,_0",,0,[],meco_para_3_qa_1 ,meco_para_3,0,"sports,",1,7,True,0.075,NR,
3,doping_0,,0,[],meco_para_3_qa_1 ,meco_para_3,0,doping,1,6,True,0.075,NR,
4,is_0,,0,[],meco_para_3_qa_1 ,meco_para_3,0,is,1,2,True,0.075,NR,
5,the_0,,0,[],meco_para_3_qa_1 ,meco_para_3,0,the,1,3,True,0.075,NR,
6,use_0,,0,[],meco_para_3_qa_1 ,meco_para_3,0,use,1,3,True,0.075,NR,
7,of_0,,0,[],meco_para_3_qa_1 ,meco_para_3,0,of,1,2,True,0.075,NR,
8,banned_0,,0,[],meco_para_3_qa_1 ,meco_para_3,0,banned,1,6,True,0.075,NR,
9,performance-enhancing_0,136.0,1,[79],meco_para_3_qa_1 ,meco_para_3,1,performance-enhancing,1,21,True,0.075,NR,0.0923285811269518
10,drugs_0,407.0,2,"[116, 122]",meco_para_3_qa_1 ,meco_para_3,2,drugs,1,5,True,0.075,NR,0.27630685675492195
11,by_0,,0,[],meco_para_3_qa_1 ,meco_para_3,0,by,1,2,True,0.075,NR,
12,athletic_0,,0,[],meco_para_3_qa_1 ,meco_para_3,0,athletic,1,8,True,0.075,NR,
13,competitors._0,726.0,4,"[36, 37, 38, 108]",meco_para_3_qa_1 ,meco_para_3,4,competitors.,1,12,True,0.075,NR,0.49287169042769857
14,The_1,68.0,1,[26],meco_para_3_qa_1 ,meco_para_3,1,The,2,3,True,0.075,NR,0.029668411867364748
15,term_0,69.0,1,[9],meco_para_3_qa_1 ,meco_para_3,1,term,2,4,True,0.075,NR,0.030104712041884817
16,doping_1,135.0,2,"[10, 12]",meco_para_3_qa_1 ,meco_para_3,2,doping,2,6,True,0.075,NR,0.058900523560209424
17,is_1,170.0,1,[13],meco_para_3_qa_1 ,meco_para_3,1,is,2,2,True,0.075,NR,0.07417102966841187
18,widely_0,,0,[],meco_para_3_qa_1 ,meco_para_3,0,widely,2,6,True,0.075,NR,
19,used_0,,0,[],meco_para_3_qa_1 ,meco_para_3,0,used,2,4,True,0.075,NR,
20,by_1,,0,[],meco_para_3_qa_1 ,meco_para_3,0,by,2,2,True,0.075,NR,
21,organizations_0,441.0,3,"[17, 34, 35]",meco_para_3_qa_1 ,meco_para_3,3,organizations,2,13,True,0.075,NR,0.19240837696335078
22,which_0,711.0,5,"[46, 63, 77, 78, 159]",meco_para_3_qa_1 ,meco_para_3,5,which,2,5,True,0.075,NR,0.3102094240837696
23,regulate_0,102.0,1,[50],,meco_para_3,1,regulate,2,8,True,0.075,NR,0.04450261780104712
24,sporting_0,339.0,2,"[51, 84]",,meco_para_3,2,sporting,2,8,True,0.075,NR,0.14790575916230367
25,competitions._0,257.0,3,"[27, 85, 109]",,meco_para_3,3,competitions.,2,13,True,0.075,NR,0.11212914485165794
26,The_2,59.0,1,[28],,meco_para_3,1,The,3,3,True,0.075,NR,0.010170660230994655
27,use_1,511.0,2,"[14, 30]",,meco_para_3,2,use,3,3,True,0.075,NR,0.08808826064471643
28,of_1,65.0,1,[29],,meco_para_3,1,of,3,2,True,0.075,NR,0.011204964661265299
29,drugs_1,337.0,2,"[16, 31]",,meco_para_3,2,drugs,3,5,True,0.075,NR,0.058093432166867784
30,to_0,205.0,1,[15],,meco_para_3,1,to,3,2,True,0.075,NR,0.035338734700913636
31,enhance_0,68.0,1,[44],,meco_para_3,1,enhance,3,7,True,0.075,NR,0.01172211687640062
32,performance_0,376.0,3,"[45, 62, 76]",,meco_para_3,3,performance,3,11,True,0.075,NR,0.06481641096362696
33,is_2,,0,[],,meco_para_3,0,is,3,2,True,0.075,NR,
34,largely_0,,0,[],,meco_para_3,0,largely,3,7,True,0.075,NR,
35,considered_0,307.0,3,"[82, 117, 124]",,meco_para_3,3,considered,3,10,True,0.075,NR,0.052921910015514564
36,"unethical,_0",,0,[],,meco_para_3,0,"unethical,",3,10,True,0.075,NR,
37,and_0,,0,[],,meco_para_3,0,and,3,3,True,0.075,NR,
38,is_3,,0,[],,meco_para_3,0,is,3,2,True,0.075,NR,
39,therefore_0,,0,[],,meco_para_3,0,therefore,3,9,True,0.075,NR,
40,prohibited_0,341.0,3,"[92, 93, 104]",,meco_para_3,3,prohibited,3,10,True,0.075,NR,0.058782968453714876
41,by_2,370.0,3,"[94, 103, 110]",,meco_para_3,3,by,3,2,True,0.075,NR,0.06378210653335632
42,most_0,136.0,1,[43],,meco_para_3,1,most,3,4,True,0.075,NR,0.02344423375280124
43,international_0,102.0,1,[102],,meco_para_3,1,international,3,13,True,0.075,NR,0.01758317531460093
44,sports_1,373.0,3,"[158, 201, 204]",,meco_para_3,3,sports,3,6,True,0.075,NR,0.06429925874849164
