,word_id_orig,TRT,FixCount,Scan_path,Span_word_is_in,text_id,worker_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
37,Boote_0,68.0,1,[68],meco_para_12_qa_2 ,meco_para_12,AT9UG11XAEDZL,1,Boote,3,5,True,0.7130801687763713,NR,0.031206975676916018
38,oder_1,67.0,1,[69],meco_para_12_qa_2 ,meco_para_12,AT9UG11XAEDZL,1,oder,3,4,True,0.7130801687763713,NR,0.03074804956402019
39,Traktoren’_0,749.0,5,"[24, 72, 85, 86, 87]",meco_para_12_qa_2 ,meco_para_12,AT9UG11XAEDZL,5,Traktoren’,3,10,True,0.7130801687763713,NR,0.343735658558972
40,erforderlich_1,272.0,3,"[11, 74, 88]",meco_para_12_qa_2 ,meco_para_12,AT9UG11XAEDZL,3,erforderlich,3,12,True,0.7130801687763713,NR,0.12482790270766407
41,—_0,,0,[],meco_para_12_qa_2 ,meco_para_12,AT9UG11XAEDZL,0,—,3,1,True,0.7130801687763713,NR,
42,"sind,_1",102.0,1,[120],meco_para_12_qa_2 ,meco_para_12,AT9UG11XAEDZL,1,"sind,",3,5,True,0.7130801687763713,NR,0.046810463515374025
43,kann_0,,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,kann,3,4,True,0.7130801687763713,NR,
44,je_0,,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,je,3,2,True,0.7130801687763713,NR,
45,nach_0,,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,nach,3,4,True,0.7130801687763713,NR,
46,Rechtssprechung_0,377.0,2,"[16, 111]",meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,Rechtssprechung,3,15,True,0.7130801687763713,NR,0.17301514456172556
47,variieren._0,68.0,1,[17],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,variieren.,3,10,True,0.7130801687763713,NR,0.031206975676916018
48,Die_0,,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,Die,4,3,True,0.7130801687763713,NR,
49, Registrierungskennung_0,70.0,1,[70],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1, Registrierungskennung,4,22,True,0.7130801687763713,NR,0.01573387278040009
50,besteht_0,1425.0,7,"[12, 25, 55, 71, 73, 102, 117]",meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,7,besteht,4,7,True,0.7130801687763713,NR,0.3202966958867161
51,aus_0,,0,[],meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,aus,4,3,True,0.7130801687763713,NR,
52,einer_0,713.0,4,"[108, 154, 177, 214]",meco_para_12_qa_2 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,4,einer,4,5,True,0.7130801687763713,NR,0.16026073274893235
53,Reihe_0,69.0,1,[77],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,Reihe,4,5,True,0.7130801687763713,NR,0.015509103169251517
54,von_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,von,4,3,True,0.7130801687763713,NR,
55, Buchstaben_0,335.0,4,"[78, 110, 125, 139]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,4, Buchstaben,4,11,True,0.7130801687763713,NR,0.07529781973477186
56,und_1,69.0,1,[126],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,und,4,3,True,0.7130801687763713,NR,0.015509103169251517
57,"Ziffern,_0",440.0,4,"[48, 112, 127, 128]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,4,"Ziffern,",4,8,True,0.7130801687763713,NR,0.09889862890537199
58,die_1,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,die,4,3,True,0.7130801687763713,NR,
59,den_0,68.0,1,[113],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,den,4,3,True,0.7130801687763713,NR,0.015284333558102945
60, Fahrzeughalter_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0, Fahrzeughalter,4,15,True,0.7130801687763713,NR,
61,eindeutig_0,476.0,2,"[53, 101]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,eindeutig,4,9,True,0.7130801687763713,NR,0.10699033490672061
62,im_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,im,4,2,True,0.7130801687763713,NR,
63,Fahrzeugregister_0,138.0,1,[109],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,Fahrzeugregister,4,16,True,0.7130801687763713,NR,0.031018206338503034
64,der_0,67.0,1,[79],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,der,4,3,True,0.7130801687763713,NR,0.015059563946954372
65,ausstellenden_0,274.0,3,"[38, 47, 80]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,3,ausstellenden,4,13,True,0.7130801687763713,NR,0.061586873454708924
66,Behdrde_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,Behdrde,4,7,True,0.7130801687763713,NR,
67, identifiziert._0,305.0,4,"[2, 114, 115, 116]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,4, identifiziert.,4,15,True,0.7130801687763713,NR,0.06855473140031468
68,In_1,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,In,5,2,True,0.7130801687763713,NR,
69, einigen_0,304.0,4,"[52, 54, 83, 100]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,4, einigen,5,8,True,0.7130801687763713,NR,0.07332368547998071
70,Landern_0,477.0,3,"[103, 104, 105]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,3,Landern,5,7,True,0.7130801687763713,NR,0.1150506512301013
71,ist_2,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,ist,5,3,True,0.7130801687763713,NR,
72,die_2,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,die,5,3,True,0.7130801687763713,NR,
73,Kennung_0,68.0,1,[76],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,Kennung,5,7,True,0.7130801687763713,NR,0.016401350699469366
74,innerhalb_0,68.0,1,[138],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,innerhalb,5,9,True,0.7130801687763713,NR,0.016401350699469366
75,des_0,204.0,2,"[123, 124]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,des,5,3,True,0.7130801687763713,NR,0.049204052098408106
76,gesamten_0,680.0,4,"[81, 161, 162, 163]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,4,gesamten,5,8,True,0.7130801687763713,NR,0.1640135069946937
77,Landes_0,341.0,3,"[3, 97, 182]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,3,Landes,5,6,True,0.7130801687763713,NR,0.08224794983116257
78,"einzigartig,_0",137.0,2,"[98, 99]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,"einzigartig,",5,12,True,0.7130801687763713,NR,0.033043897732754464
79,wahrend_0,104.0,1,[51],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,wahrend,5,7,True,0.7130801687763713,NR,0.025084418716835505
80,sie_1,69.0,1,[191],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,sie,5,3,True,0.7130801687763713,NR,0.016642547033285094
81,dies_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,dies,5,4,True,0.7130801687763713,NR,
82,in_2,168.0,1,[106],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,in,5,2,True,0.7130801687763713,NR,0.04052098408104197
83,anderen_0,404.0,5,"[153, 174, 175, 213, 224]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,5,anderen,5,7,True,0.7130801687763713,NR,0.0974433188615533
84,Landern_1,,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,Landern,5,7,True,0.7130801687763713,NR,
85,nur_0,,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,nur,5,3,True,0.7130801687763713,NR,
86,innerhalb_1,137.0,2,"[140, 198]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,innerhalb,5,9,True,0.7130801687763713,NR,0.033043897732754464
87,eines_0,68.0,1,[160],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,eines,5,5,True,0.7130801687763713,NR,0.016401350699469366
88,Staates_0,170.0,1,[164],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,Staates,5,7,True,0.7130801687763713,NR,0.04100337674867342
89,oder_2,342.0,3,"[130, 144, 158]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,3,oder,5,4,True,0.7130801687763713,NR,0.0824891461649783
90,einer_1,236.0,3,"[145, 183, 185]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,3,einer,5,5,True,0.7130801687763713,NR,0.056922334780511334
91,Provinz_0,169.0,2,"[82, 186]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,Provinz,5,7,True,0.7130801687763713,NR,0.04076218041485769
92,ist._3,,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,ist.,5,4,True,0.7130801687763713,NR,
93,Frankreich_0,405.0,3,"[1, 192, 208]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,3,Frankreich,6,10,True,0.7130801687763713,NR,0.16310914216673378
94,war_0,68.0,1,[209],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,war,6,3,True,0.7130801687763713,NR,0.02738622633910592
95,das_1,204.0,2,"[136, 176]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,das,6,3,True,0.7130801687763713,NR,0.08215867901731776
96,erste_0,,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,erste,6,5,True,0.7130801687763713,NR,
97,"Land,_0",69.0,1,[75],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,"Land,",6,5,True,0.7130801687763713,NR,0.02778896496173983
98,das_2,,0,[],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,das,6,3,True,0.7130801687763713,NR,
99,Ende_0,205.0,2,"[178, 199]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,Ende,6,4,True,0.7130801687763713,NR,0.08256141763995167
100,des_1,271.0,2,"[122, 141]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,des,6,3,True,0.7130801687763713,NR,0.10914216673378976
101,19._0,409.0,3,"[142, 181, 219]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,3,19.,6,3,True,0.7130801687763713,NR,0.16472009665726944
102,Jahrhunderts_0,205.0,2,"[142, 165]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,Jahrhunderts,6,12,True,0.7130801687763713,NR,0.08256141763995167
103,das_3,103.0,1,[184],meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,das,6,3,True,0.7130801687763713,NR,0.04148207813129279
104, Kennzeichen’_0,205.0,2,"[187, 235]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2, Kennzeichen’,6,13,True,0.7130801687763713,NR,0.08256141763995167
105,einfihrte._0,339.0,4,"[132, 133, 147, 194]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,4,einfihrte.,6,10,True,0.7130801687763713,NR,0.1365283930728957
106,Die_3,376.0,2,"[0, 196]",meco_para_12_qa_0 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,Die,7,3,True,0.7130801687763713,NR,0.11270983213429256
107,Kennzeichen_1,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,Kennzeichen,7,11,True,0.7130801687763713,NR,
108,des_2,68.0,1,[137],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,des,7,3,True,0.7130801687763713,NR,0.02038369304556355
109,friihen_0,169.0,2,"[179, 180]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,friihen,7,7,True,0.7130801687763713,NR,0.05065947242206235
110,zwanzigsten_0,203.0,1,[129],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,zwanzigsten,7,11,True,0.7130801687763713,NR,0.06085131894484413
111,Jahrhunderts_1,135.0,2,"[50, 236]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,Jahrhunderts,7,12,True,0.7130801687763713,NR,0.040467625899280574
112,variierten_0,203.0,3,"[64, 190, 234]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,3,variierten,7,10,True,0.7130801687763713,NR,0.06085131894484413
113,in_3,68.0,1,[146],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,in,7,2,True,0.7130801687763713,NR,0.02038369304556355
114,GrdRe_0,68.0,1,[131],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,GrdRe,7,5,True,0.7130801687763713,NR,0.02038369304556355
115,und_2,238.0,2,"[193, 210]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,und,7,3,True,0.7130801687763713,NR,0.07134292565947242
116,Form_0,340.0,2,"[152, 195]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,Form,7,4,True,0.7130801687763713,NR,0.10191846522781775
117,je_1,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,je,7,2,True,0.7130801687763713,NR,
118,nach_1,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,nach,7,4,True,0.7130801687763713,NR,
119,regionaler_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,regionaler,7,10,True,0.7130801687763713,NR,
120,"Rechtssprechung,_1",138.0,1,[121],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,"Rechtssprechung,",7,16,True,0.7130801687763713,NR,0.04136690647482014
121,so_0,102.0,1,[159],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,so,7,2,True,0.7130801687763713,NR,0.030575539568345324
122,dass_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,dass,7,4,True,0.7130801687763713,NR,
123,bei_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,bei,7,3,True,0.7130801687763713,NR,
124,einem_1,137.0,2,"[63, 189]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,einem,7,5,True,0.7130801687763713,NR,0.04106714628297362
125,Umzug_0,136.0,1,[188],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,Umzug,7,5,True,0.7130801687763713,NR,0.0407673860911271
126, zusatzliche_0,208.0,3,"[148, 207, 228]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,3, zusatzliche,7,12,True,0.7130801687763713,NR,0.06235011990407674
127,Locher_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,Locher,7,6,True,0.7130801687763713,NR,
128,in_4,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,in,7,2,True,0.7130801687763713,NR,
129,das_4,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,das,7,3,True,0.7130801687763713,NR,
130,Auto_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,Auto,7,4,True,0.7130801687763713,NR,
131,gebohrt_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,gebohrt,7,7,True,0.7130801687763713,NR,
132,werden_0,136.0,2,"[201, 218]",meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,2,werden,7,6,True,0.7130801687763713,NR,0.0407673860911271
133,"mussten,_0",103.0,1,[157],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,"mussten,",7,8,True,0.7130801687763713,NR,0.030875299760191845
134,um_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,um,7,2,True,0.7130801687763713,NR,
135,das_5,237.0,1,[220],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,das,7,3,True,0.7130801687763713,NR,0.0710431654676259
136,neue_0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,neue,7,4,True,0.7130801687763713,NR,
137,Kennzeichen_2,68.0,1,[203],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,Kennzeichen,7,11,True,0.7130801687763713,NR,0.02038369304556355
138,anbringen_0,102.0,1,[170],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,anbringen,7,9,True,0.7130801687763713,NR,0.030575539568345324
139,zu_0,101.0,1,[171],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,1,zu,7,2,True,0.7130801687763713,NR,0.0302757793764988
140,kénnen._0,,0,[],meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,kénnen.,7,7,True,0.7130801687763713,NR,
141,Die_4,,0,[],meco_para_12_qa_1 meco_para_12_qa_3 ,meco_para_12,AT9UG11XAEDZL,0,Die,8,3,True,0.7130801687763713,NR,
