word_id,TRT,FixCount,Span_word_is_in,text_id
petrol_2,389.0,4,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
bulmak_0,683.0,9,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
ve_0,535.0,6,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
yeni_1,833.0,8,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
alaniari_0,1060.0,6,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
 gelistirmek_0,1916.0,15,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
bes_0,nan,0,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
ila_0,291.0,1,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
on_0,688.0,4,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
yil_0,391.0,4,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
strmekteydi._0,809.0,10,a_1973oilcrisis_1_qa_4 ,a_1973oilcrisis_1
1973_0,nan,0,a_1973oilcrisis_2_qa_1 ,a_1973oilcrisis_2
yilinda_0,nan,0,,a_1973oilcrisis_2
"Nixon,_0",nan,0,,a_1973oilcrisis_2
ambargoya_0,76.0,1,a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2
verilen_0,511.0,5,a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2
yaniti_0,164.0,2,a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2
koordine_0,78.0,1,a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2
etmek_0,68.0,1,a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2
icin_0,nan,0,a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2
olusturulan_0,nan,0,,a_1973oilcrisis_2
kisa_0,nan,0,,a_1973oilcrisis_2
vadeli_0,nan,0,,a_1973oilcrisis_2
bir_0,nan,0,,a_1973oilcrisis_2
organizasyon_0,155.0,2,,a_1973oilcrisis_2
olan_0,nan,0,,a_1973oilcrisis_2
Federal_0,141.0,1,,a_1973oilcrisis_2
Enerji_0,172.0,2,,a_1973oilcrisis_2
Ofisinin_0,156.0,2,,a_1973oilcrisis_2
ilk_0,154.0,2,,a_1973oilcrisis_2
Y6neticisi_0,471.0,3,,a_1973oilcrisis_2
olarak_0,440.0,3,,a_1973oilcrisis_2
William_0,nan,0,a_1973oilcrisis_2_qa_0 ,a_1973oilcrisis_2
—._0,nan,0,a_1973oilcrisis_2_qa_0 ,a_1973oilcrisis_2
Simon'!_0,297.0,3,a_1973oilcrisis_2_qa_0 ,a_1973oilcrisis_2
sec¢ti._0,173.0,2,,a_1973oilcrisis_2
"Simon,_0",74.0,1,,a_1973oilcrisis_2
1974_0,154.0,2,,a_1973oilcrisis_2
yilinda_1,588.0,7,,a_1973oilcrisis_2
her_0,981.0,5,,a_1973oilcrisis_2
bir_1,677.0,4,,a_1973oilcrisis_2
eyalete_0,600.0,6,,a_1973oilcrisis_2
1972'de_0,1406.0,11,,a_1973oilcrisis_2
tukettikleri_0,140.0,1,,a_1973oilcrisis_2
kadar_0,355.0,2,,a_1973oilcrisis_2
yerel_0,178.0,2,,a_1973oilcrisis_2
petrol_0,469.0,5,,a_1973oilcrisis_2
tahsis_0,306.0,3,,a_1973oilcrisis_2
"etti,_0",748.0,5,,a_1973oilcrisis_2
bu_0,370.0,4,,a_1973oilcrisis_2
nifusu_0,645.0,7,,a_1973oilcrisis_2
 artmayan_0,367.0,3,,a_1973oilcrisis_2
 eyaletler_0,1552.0,12,,a_1973oilcrisis_2
icin_1,706.0,6,,a_1973oilcrisis_2
yaradi._0,nan,0,,a_1973oilcrisis_2
Diger_0,313.0,3,,a_1973oilcrisis_2
"eyaletlerde,_0",1472.0,12,,a_1973oilcrisis_2
benzin_0,224.0,3,,a_1973oilcrisis_2
 istasyonlarinda_0,1619.0,13,,a_1973oilcrisis_2
 kuyruklar_0,584.0,6,,a_1973oilcrisis_2
yaygindi._0,1007.0,9,,a_1973oilcrisis_2
Amerikan_0,579.0,7,,a_1973oilcrisis_2
Otomobil_0,nan,0,,a_1973oilcrisis_2
"Birlizi,_0",1608.0,11,,a_1973oilcrisis_2
1974_1,707.0,5,,a_1973oilcrisis_2
yilinin|_0,702.0,8,,a_1973oilcrisis_2
Subat_0,900.0,7,,a_1973oilcrisis_2
ayinin_0,645.0,6,,a_1973oilcrisis_2
son_0,153.0,2,,a_1973oilcrisis_2
"haftasinda,_0",595.0,7,,a_1973oilcrisis_2
Amerikan_1,1160.0,7,,a_1973oilcrisis_2
benzin_1,800.0,8,,a_1973oilcrisis_2
istasyonlarinin_0,312.0,3,,a_1973oilcrisis_2
%20'sinde_0,1872.0,16,a_1973oilcrisis_2_qa_3 ,a_1973oilcrisis_2
yakit_0,1683.0,12,,a_1973oilcrisis_2
olmadigini_0,1697.0,13,,a_1973oilcrisis_2
bildirdi._0,902.0,8,,a_1973oilcrisis_2
ise_0,169.0,1,,a_1973oilcrisis_2
Harvard'a__0,nan,0,,a_HarvardUniversity_3
lisans__0,nan,0,,a_HarvardUniversity_3
